Method,AUC-ROC,F1
Logistic Regression (UTMOS+DNSMOS+WER),0.7382,0.0
UTMOS,0.6642,0.4733
3-metric Average (UTMOS+DNSMOS+WER),0.6051,0.4
WER,0.6008,0.4013
DNSMOS,0.4168,0.2933
